id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
1664005117,c423e854-e011-3339-a075-c138ab60bff8,-9.134170,-35.846909,2023-12-13 16:24:00,Brasil,ALAGOAS,JOAQUIM GOMES,Mata Atlântica
1665077482,ef103f3f-4fe7-3d1e-a123-b41870ddfa54,-9.427440,-35.995449,2023-12-23 16:45:00,Brasil,ALAGOAS,ATALAIA,Mata Atlântica
1665292702,0f03f300-e231-3d6d-b44f-6ba14b5f00b0,-9.419900,-36.980518,2023-12-25 16:28:00,Brasil,ALAGOAS,CACIMBINHAS,Caatinga
1665292703,c85622a8-9d71-314b-bacc-403abf6e3f4f,-9.060660,-37.365139,2023-12-25 16:30:00,Brasil,ALAGOAS,OURO BRANCO,Caatinga
1665514154,23a295c2-4738-3f7a-8267-6d870ea7d53b,-9.202420,-37.267780,2023-12-27 16:13:00,Brasil,ALAGOAS,MARAVILHA,Caatinga
1665514179,2b7189c0-65ee-3ca7-96f5-ddd1eae0c481,-9.813340,-36.955841,2023-12-27 16:13:00,Brasil,ALAGOAS,TRAIPU,Caatinga
1665514180,fd9cf0c2-6e2f-35a6-b6f3-f1706a67627c,-9.813130,-36.950569,2023-12-27 16:13:00,Brasil,ALAGOAS,TRAIPU,Caatinga
1665514181,37eb401d-115a-3812-88a0-256554548d37,-9.761590,-36.992550,2023-12-27 16:13:00,Brasil,ALAGOAS,TRAIPU,Caatinga
1665760192,bf7963f9-d1a5-3c55-97c0-81fe512a347e,-9.998970,-36.404598,2023-12-29 15:58:00,Brasil,ALAGOAS,TEOTÔNIO VILELA,Mata Atlântica
1665760193,9d5dcd1d-1938-3635-bdc0-6ff68f302cca,-9.605300,-36.897099,2023-12-29 15:58:00,Brasil,ALAGOAS,JARAMATAIA,Caatinga
1665760194,952e424a-3835-3a6e-ab60-2aad0868546e,-9.603080,-36.875080,2023-12-29 15:58:00,Brasil,ALAGOAS,CRAÍBAS,Caatinga
1665760195,b4349c7b-307e-3c8c-a7e2-64bcd28c9b19,-9.601900,-36.868359,2023-12-29 15:58:00,Brasil,ALAGOAS,CRAÍBAS,Caatinga
1665760196,742604db-5cba-389d-9ff8-f573e7e104c0,-9.389420,-36.485870,2023-12-29 15:58:00,Brasil,ALAGOAS,QUEBRANGULO,Caatinga
1665760197,e9bda9b4-e10c-35ae-b7ad-549e07a8f444,-9.387540,-36.493111,2023-12-29 15:58:00,Brasil,ALAGOAS,QUEBRANGULO,Caatinga
1665760198,319b000c-ff45-37b8-ad93-e18b311f7032,-9.384120,-36.466591,2023-12-29 15:58:00,Brasil,ALAGOAS,QUEBRANGULO,Mata Atlântica
1665760199,2cd0773f-92e4-3e82-a481-e8f8aa9cc076,-9.374920,-36.488129,2023-12-29 15:58:00,Brasil,ALAGOAS,QUEBRANGULO,Caatinga
1665760200,12301ee8-ae6f-3310-87a6-af4ccd6d0cae,-9.006760,-35.278240,2023-12-29 15:58:00,Brasil,ALAGOAS,MARAGOGI,Mata Atlântica
1665902366,f9787eb1-64c6-31c1-8d3c-d4652efaa4e2,-9.871370,-36.047161,2023-12-30 16:39:00,Brasil,ALAGOAS,JEQUIÁ DA PRAIA,Mata Atlântica
1665902367,88d58d58-dd34-3c49-b7e3-6ea3ac18bbf4,-9.776190,-36.891022,2023-12-30 16:39:00,Brasil,ALAGOAS,GIRAU DO PONCIANO,Caatinga
